proba_col,threshold,precision,recall,specificity,accuracy,f1,fpr,tn,fp,fn,tp
s1_pred_proba,0.18,0.33919156414762713,0.3584029712163414,0.9675876039825869,0.940563473103221,0.3485327313764753,0.03241239601741304,22449,752,691,386
s1_pred_proba,0.19,0.34528301886792423,0.33983286908077964,0.9700874962286108,0.9421286761677239,0.34253626579266777,0.029912503771389164,22507,694,711,366
s1_pred_proba,0.2,0.36526315789473646,0.322191272051996,0.9740097409594414,0.9450943240794134,0.3423778983714799,0.025990259040558596,22598,603,730,347
s1_pred_proba,0.21,0.37954545454545413,0.3101207056638809,0.9764665316150166,0.9469066644698905,0.34133878385234073,0.023533468384983405,22655,546,743,334
s1_pred_proba,0.22,0.3918269230769226,0.3026926648096562,0.9781905952329641,0.9482247302084191,0.34154007333633346,0.021809404767035905,22695,506,751,326
s1_pred_proba,0.23,0.3984272608125814,0.2822655524605383,0.9802163699840524,0.9492544690666447,0.33043478260820985,0.019783630015947587,22742,459,773,304
s1_pred_proba,0.24,0.4076607387140897,0.27669452181986975,0.9813370113357183,0.9500782601532252,0.329646017698633,0.01866298866428171,22768,433,779,298
s1_pred_proba,0.25,0.41763005780346757,0.268337975858867,0.9826300590491789,0.9509432407941346,0.326738270208681,0.017369940950821085,22798,403,788,289
s1_pred_proba,0.26,0.4240121580547106,0.25905292479108616,0.9836644972199474,0.951519894554741,0.3216138328525548,0.016335502780052583,22822,379,798,279
s1_pred_proba,0.27,0.4342948717948711,0.25162488393686144,0.9847851385716133,0.9522613065326633,0.31863609641340934,0.015214861428386708,22848,353,806,271
s1_pred_proba,0.28,0.43898305084745687,0.2404828226555244,0.9857333735614844,0.9526732020759535,0.3107378524290564,0.01426662643851558,22870,331,818,259
s1_pred_proba,0.29,0.4510869565217383,0.23119777158774354,0.9869402180940476,0.953414614053876,0.3057090239406197,0.01305978190595233,22898,303,828,249
s1_pred_proba,0.3,0.45105566218809895,0.21819870009285033,0.9876729451316754,0.953538182716863,0.2941176470583837,0.012327054868324642,22915,286,842,235
s1_pred_proba,0.31,0.46913580246913483,0.21169916434540373,0.9888797896642386,0.9544031633577724,0.29174664107442716,0.01112021033576139,22943,258,849,228
s1_pred_proba,0.32,0.4808510638297862,0.20984215413184754,0.9894832119305202,0.9548974380097207,0.2921784098250453,0.010516788069479763,22957,244,851,226
s1_pred_proba,0.33,0.49099099099098986,0.20241411327762285,0.9902590405585966,0.955309333553011,0.28665351742233447,0.009740959441403388,22975,226,859,218
s1_pred_proba,0.34,0.49880668257756444,0.19405756731662008,0.9909486660057756,0.9555976604333141,0.27941176470547874,0.009051333994224387,22991,210,868,209
s1_pred_proba,0.35000000000000003,0.5141388174807184,0.1857010213556173,0.991853799405198,0.9560919350852624,0.27285129604326597,0.008146200594801948,23012,189,877,200
s1_pred_proba,0.36,0.5222222222222207,0.17455896007428026,0.9925865264428257,0.9562978828569075,0.2616562282529296,0.00741347355717426,23029,172,889,188
s1_pred_proba,0.37,0.5235294117647044,0.1652739090064994,0.9930175423473127,0.9562978828569075,0.2512350035282165,0.006982457652687384,23039,162,899,178
s1_pred_proba,0.38,0.5341614906832282,0.15970287836583089,0.9935347614326968,0.9565450201828816,0.24588992137205418,0.006465238567303133,23051,150,905,172
s1_pred_proba,0.39,0.5389610389610372,0.15413184772516236,0.9938795741562864,0.9566273992915396,0.23971119133539387,0.006120425843713633,23059,142,911,166
